country,adm0,Province,adm1,lon,lat,continent,surv_qual,logpop,temp_max,temp_min,temp_mean,precip_max,precip_min,precip_mean
Australia,AUS,Queensland,AUS.7_1,144.5460786,-22.56759196,Oceania,0,6.699239888,35.16357436,8.32630459,21.74493947,131.1567851,12.14721913,52.70111927
Australia,AUS,South Australia,AUS.8_1,135.8314015,-30.10814465,Oceania,0,6.267107505,34.3830896,4.987485324,19.68528746,23.2106837,16.00142879,19.19512642
Australia,AUS,Tasmania,AUS.9_1,146.6261349,-41.9685443,Oceania,0,5.74868943,19.97756982,2.488920225,11.23324502,151.9043671,61.02761397,110.0406866
Australia,AUS,Victoria,AUS.10_1,144.3042888,-36.85009222,Oceania,0,6.794525997,27.45683768,3.130415925,15.2936268,78.34732975,35.49079526,58.56734897
Australia,AUS,Western Australia,AUS.11_1,122.1816948,-25.4660083,Oceania,0,6.41089071,36.22791305,7.831068955,22.029491,56.25098589,11.2221892,27.88866924
Azerbaijan,AZE,Absheron,AZE.1_1,49.43540292,40.45467646,Asia,0,6.453014138,30.62782738,-0.355792942,15.13601722,43.00074405,13.39264456,28.27063846
Azerbaijan,AZE,Aran,AZE.2_1,48.12735225,40.01901651,Asia,0,6.312193507,31.63737857,-0.971190111,15.33309423,44.87855274,12.46190863,30.42107281
Azerbaijan,AZE,Daglig-Shirvan,AZE.3_1,48.48073548,40.64052293,Asia,0,5.50961279,28.61737376,-3.560737267,12.52831825,59.3459483,22.72101647,40.80590395
Azerbaijan,AZE,Ganja-Qazakh,AZE.4_1,46.00283838,40.81297172,Asia,0,6.113719368,29.17692142,-3.88475271,12.64608435,75.79920177,17.68221779,39.71041655
Azerbaijan,AZE,Kalbajar-Lachin,AZE.5_1,46.33403269,39.77461383,Asia,0,5.393717288,24.70939112,-7.83960555,8.434892788,92.91285403,21.84221993,45.10600849
Azerbaijan,AZE,Lankaran,AZE.6_1,48.5697282,38.92181399,Asia,0,5.958094013,31.24219293,-1.737327741,14.75243259,97.95470342,14.68639904,50.6630717
Azerbaijan,AZE,Nakhchivan,AZE.7_1,45.51581718,39.303269,Asia,0,5.656028021,30.0375647,-7.80078876,11.11838797,61.01392655,15.41631748,29.46746364
Azerbaijan,AZE,Quba-Khachmaz,AZE.8_1,48.58254199,41.27592398,Asia,0,5.749414774,29.00439996,-5.493774799,11.75531258,58.18005467,23.83952032,37.81240631
Azerbaijan,AZE,Shaki-Zaqatala,AZE.9_1,47.11151326,41.23246386,Asia,0,5.795776915,28.43826538,-3.913506301,12.26237954,85.79377317,25.81919941,51.83558191
Azerbaijan,AZE,Yukhari-Karabakh,AZE.10_1,46.95745737,39.77879271,Asia,0,5.80743607,28.81646859,-3.101644178,12.85741221,76.47752658,21.39585381,39.10652161
Bangladesh,BGD,Barisal,BGD.1_1,90.34469798,22.42716703,Asia,0,6.963723148,34.35362797,12.99079344,23.6722107,526.646438,9.599698455,201.5964317
Bangladesh,BGD,Chittagong,BGD.2_1,91.73027541,22.71208045,Asia,0,7.511802174,32.59267485,13.52881333,23.06074409,584.4017122,7.693506703,220.9842065
Bangladesh,BGD,Dhaka,BGD.3_1,90.28956697,24.18280032,Asia,0,7.723901558,34.1105115,12.01934958,23.06493054,419.130532,4.354654528,175.6425762
Bangladesh,BGD,Khulna,BGD.4_1,89.2929763,22.91313689,Asia,0,7.242147197,35.0616388,12.08606021,23.57384951,356.0708083,6.140775028,145.0069527
Bangladesh,BGD,Rajshahi,BGD.5_1,89.04525682,24.5885492,Asia,0,7.314423675,35.65059876,11.48666724,23.568633,329.0431888,2.830616921,133.7900437
